sourceId,sourceName,author,title,description,url,urlToImage,publishedAt,content
suara-general,Suara.com,,"Wamen Imipas Silmy Karim Menyerah ke KPK, Intip Harta Kekayaannya: Tembus Rp234 Miliar - Suara.com","Wamen Imipas Silmy Karim Menyerah ke KPK, Intip Harta Kekayaannya: Tembus Rp234 Miliar Suara.com",https://news.google.com/rss/articles/CBMizwFBVV95cUxOMnE3V3RIUDNmTFdxcjRMNFVxOHR3OVJMX3NOUkZxeUNIT3ZpUXhJZF9Ram9PcUFYdDUyT3ltVldnUUdmcVBtaS1QNmFLakF6dWpjMXBWZjVfTmpNeWtnQTRCY2Zqdi1rZEdtSzAyeG80QUpkZWxudEZ3bWJSa0lSZkphTFpHZEk1VnlWYktBVzF2OGJDXzV5Tzc1ZGJDWVFmSHRHbDdSeUFFYjRUNm9ZbndRTllWbnFnSGNxdXlYVEhGZEpEV2Y0WGZhUVE2c2fSAc8BQVVfeXFMT0oweGl5NklUaFZjbzlncU15Tm1acnZabzhLem11VWV6ei1QSVgydmxyYm5HU2hrbmNSbEU1bnFfVVFQM3BKcG1KT1lGbFhueFRKU0VHTE9VNnI1THdOdDhVbl9UbU5tS1NWZFBOTlhWcmlNNkhsVnM2bDNSMDJ6V2haRkpYMi1fQmNzUlUzTXM5aXpUMW1kSG9NcmFtZnVBVzdUaEp6SE1GdDlqS1BoWTZ5X00yQjVhZjBiRld5SG1MdmxOdllDYjhOTTFiZkZV?oc=5,,2026-06-04T00:59:46.000Z,"Wamen Imipas Silmy Karim Menyerah ke KPK, Intip Harta Kekayaannya: Tembus Rp234 Miliar Suara.com"
cnn-general,CNN Indonesia Nasional,,FOTO: Deretan Barang Bukti OTT Kepala Imigrasi Jakarta Barat,KPK menyita 33 kendaraan dalam OTT di lingkungan Kementerian Imigrasi dan Pemasyarakatan yang menjerat Kepala Imigrasi Jakbar Ronald Arman Abdullah.,https://www.cnnindonesia.com/nasional/20260604070503-14-1365142/foto-deretan-barang-bukti-ott-kepala-imigrasi-jakarta-barat,https://akcdn.detik.net.id/visual/2026/06/04/barang-bukti-ott-ditjen-imigrasi-tiba-di-kpk-1780531002951_169.jpeg?w=360&q=90,2026-06-04T00:55:23.000Z,KPK menyita 33 kendaraan dalam OTT di lingkungan Kementerian Imigrasi dan Pemasyarakatan yang menjerat Kepala Imigrasi Jakbar Ronald Arman Abdullah.
suara-general,Suara.com,,"LRT Jakarta Fase 1B Masuki Tahap Uji Coba, Waskita Karya Catat Progres Konstruksi 93,07 Persen - Suara.com","LRT Jakarta Fase 1B Masuki Tahap Uji Coba, Waskita Karya Catat Progres Konstruksi 93,07 Persen Suara.com",https://news.google.com/rss/articles/CBMi1gFBVV95cUxNbUxnLWpWNGYxbUZrcUd6UEFUVEN0VllxMGFHY3gwcENDLXNzWllHRUdUT25uNGtuelV4b1JOSGg1QnZUS0FWbk54OW1XeTlzUnowTkFaRmFNSUU4b0FUMFU4N3VCZTZCWGdfUDVrRTRfS2FMRE5yR2oxRXhiUHd6aWQ4N2RWVXRTV2JpdzE1UmFzTmM3QUxrVWVLZkc0S2JmdzA1a3BjTVQzOExHMVNXUEd3Z2JDUXlvZl9VakVnNmhZQUFnQWwtVUhsV1Etc0lGY0xFQl9B0gHWAUFVX3lxTFBpQUcwZlZPTnNMNjhsaUNNVmZsMU9ubnVhMFoyNUlPSnhBazJweXlaTURYckw3VHEzbTFWSFk5cGNwVVhOaEhuRWQ3OUp3LXdHLTB3d0Q5TkxSZ1JaLUg5ZG8yWkNIOTBnVFpON2JIVGZRVTZraml2X0U2T0JNZVgzRUVneWxjWWJlcUVOaFRRNmVSNkhKQmpkMlUwOVNKT2VSMkRpYzIwcGRObXpURkxZT2xocjJHVzl0czZkRG5OUXBac2k3b0ItSDM2OXc5TS11dGJWOVE?oc=5,,2026-06-04T00:55:09.000Z,"LRT Jakarta Fase 1B Masuki Tahap Uji Coba, Waskita Karya Catat Progres Konstruksi 93,07 Persen Suara.com"
tirto-general,Tirto.id,,Compal and Datasection Advance AI Infrastructure for the Production Era - Tirto.id,Compal and Datasection Advance AI Infrastructure for the Production Era Tirto.id,https://news.google.com/rss/articles/CBMimAFBVV95cUxNNFFtbW1yQXVoV0ZNZEtZeEV0NUVhR1hlZmFSeXhTaS1hUHlLYnFNalF2R2xCWElvaFBzckc3RFo3WlpLdDZkajh4SFU1bE9tUUYtNk5wTUxMay14ME9jUzNydjlDNnBuX3Bjb1d2Znh5T3RGVUtoTTB3aGZXMVdFaDZjQ3pTZmdYbXEyVEI4cXpuZXVpaUMtbg?oc=5,,2026-06-04T00:55:08.000Z,Compal and Datasection Advance AI Infrastructure for the Production Era Tirto.id
tirto-general,Tirto.id,,Quantinuum Announces Pricing of Upsized Initial Public Offering - Tirto.id,Quantinuum Announces Pricing of Upsized Initial Public Offering Tirto.id,https://news.google.com/rss/articles/CBMijgFBVV95cUxQNXdOTEVuMW1nZ0NuOVFPSWtWcmJpNDE5d0M4MXc5LW9CRUl5WEN6YjhLVTN4R0RWWXZRb0FiNG0yMXExZlhkanR0ekE4dkJFdXVldmdlVlZjd240Y2xfUWJnazJZV1lHYkNwNVFLWTFNc0JNWmVjZ1l3dzctVmJTUGJQT0NvbllsVUZrWFBn?oc=5,,2026-06-04T00:55:08.000Z,Quantinuum Announces Pricing of Upsized Initial Public Offering Tirto.id
cnn-business,CNN Indonesia Ekonomi,,"IHSG-Rupiah Kompak Ambruk, Alarm Krisis Kepercayaan Investor Menyala?","Bercermin dari kondisi IHSG dan Rupiah saat ini, apakah ekonomi Indonesia sudah tak menarik di mata investor? Atau hal ini murni karena faktor eksternal saja?",https://www.cnnindonesia.com/ekonomi/20260604072451-78-1365152/ihsg-rupiah-kompak-ambruk-alarm-krisis-kepercayaan-investor-menyala,https://akcdn.detik.net.id/visual/2018/09/05/68b24196-a62f-4419-981b-4edec1eb28eb_169.jpeg?w=360&q=90,2026-06-04T00:50:14.000Z,"Bercermin dari kondisi IHSG dan Rupiah saat ini, apakah ekonomi Indonesia sudah tak menarik di mata investor? Atau hal ini murni karena faktor eksternal saja?"
cnbc-entertainment,CNBC Indonesia Lifestyle,,"Harga Rumah Makin Mahal, Gaji Milenial Tak Kuat Bayar Cicilan",Milenial Indonesia menghadapi tantangan besar untuk memiliki rumah. Kenaikan harga properti dan bunga kredit membuat impian ini semakin sulit diwujudkan.,https://www.cnbcindonesia.com/lifestyle/20260603143918-33-739786/harga-rumah-makin-mahal-gaji-milenial-tak-kuat-bayar-cicilan,https://akcdn.detik.net.id/visual/2018/01/04/4a105bd3-2404-47ea-a4a0-85552a4d165c_169.jpeg?w=1200&q=90,2026-06-04T00:50:04.000Z,Milenial Indonesia menghadapi tantangan besar untuk memiliki rumah. Kenaikan harga properti dan bunga kredit membuat impian ini semakin sulit diwujudkan.
detik-technology,DetikInet,,Keren! Robot Sudah Bisa Tampil di Panggung Catwalk,Robot humanoid dan model manusia tampil bersama dalam peragaan busana futuristis di Seoul. Ajang ini menampilkan kolaborasi fesyen dan teknologi AI fisik.,https://inet.detik.com/fotoinet/d-8515679/keren-robot-sudah-bisa-tampil-di-panggung-catwalk,https://akcdn.detik.net.id/community/media/visual/2026/06/03/saat-robot-dan-model-berbagi-catwalk-1780459509963_169.jpeg?w=360&q=90,2026-06-04T00:45:40.000Z,Robot humanoid dan model manusia tampil bersama dalam peragaan busana futuristis di Seoul. Ajang ini menampilkan kolaborasi fesyen dan teknologi AI fisik.
suara-general,Suara.com,,"Risiko Besar jika Rupiah Tembus Rp18.000, Siapa yang Dirugikan? - Suara.com","Risiko Besar jika Rupiah Tembus Rp18.000, Siapa yang Dirugikan? Suara.com",https://news.google.com/rss/articles/CBMiqwFBVV95cUxNa0ZVSGFqTkxQcmNtSFl6NjVoc09HX3d3Rl95SEF0MXBQUDVlMU95MnNiSlJtLWtTaVZ0eFozZzl6dzVKa3RPZTl6dGg3QU94cDBrM0FTOTlreEtaYWlQb1BGQlRLa0FfMEFpem16WmNkb3BGelZja25CRzBkRkJaNmhRZDRRYXp5YWVaUFhueXh0Ujk5Y1g3c2ctVkNhOXhaSWI5S1YyeFdhaVHSAasBQVVfeXFMTjZ6YjdSaGl3Y0VKX0FfWVlkWWFFOFNMVGJrYzVpcUtienBKLWtFd3dhNjlSYVplYlBKVjFJUmpjMDFDS0ZvaUJOVS1TZTI3VDM1eDF4XzFBRDFmYVJuRGUyNzBOYVQ1Q1JwRjlGaVVIalNIMkRkTnQ0enQ0Wjc1WXJCMWVPdzJabzZnTDAwTllSUkxLeDlIeUN1bl83WENfUlpjZWFzcHpTOFJN?oc=5,,2026-06-04T00:45:24.000Z,"Risiko Besar jika Rupiah Tembus Rp18.000, Siapa yang Dirugikan? Suara.com"
cnn-general,CNN Indonesia Nasional,,Sidang Vonis Noel Ebenezer Diketok Hakim Hari Ini,"Bekas Wamenaker Immanuel ""Noel"" Ebenezer Gerungan dijadwalkan menghadapi sidang pembacaan putusan kasus dugaan pemerasan pengurusan sertifikat K3 hari ini.",https://www.cnnindonesia.com/nasional/20260604073752-12-1365160/sidang-vonis-noel-ebenezer-diketok-hakim-hari-ini,https://akcdn.detik.net.id/visual/2026/04/27/sidang-kasus-pemerasan-k3-kemnaker-ditunda-1777291818863_169.jpeg?w=360&q=90,2026-06-04T00:45:13.000Z,"Bekas Wamenaker Immanuel ""Noel"" Ebenezer Gerungan dijadwalkan menghadapi sidang pembacaan putusan kasus dugaan pemerasan pengurusan sertifikat K3 hari ini."
